PROMSHR,PROMPLEDG,FORPROM,Market.Capitalisation,EPS,P.E,P.B,BVS,Beta,TA,Alpha,PBDITAINC,PBTINC,PATINC,CASHPRFINC,PBDITAMARG,OPMARG,OPRFINCOS,PBPTEQ,ROE,RONW,CASHROE,PBPTCE,ROCE,PATCE,PBPTTA,ROTA,PATTA,QR,CR,DE,CASHCL,CASHCOS,TURNOVER,NAT,PVT,FORGN,OTHERS,Target
42.4,0,26,148807.62,46.55,8.9,1.46,284.53,1.21,1477588.4,0.28,80.61,20.17,13.14,19.41,-3137.32,0,25.94,37.33,17.6,19.12,28.25,16.27,7.67,8.34,2.75,1.3,1.41,4.11,4.11,1.52,3.38,1918.18,4964.7,1,2,0,0,0
38.54,13.19,26,473689.06,57.79,20.23,2.95,395.99,1.14,1806805.3,0.31,77.71,24.67,16.11,25.65,59.94,0,32.97,38.74,17.83,19.15,30.5,17.26,7.94,8.53,3.1,1.43,1.53,3.26,3.26,1.07,2.68,1496.13,211489.7,8,5,4,0,0
37.21,39.87,21.85,576262.67,74.78,18.77,3.03,462.77,1.19,2427460.3,0.43,77.28,25.95,17.12,23.5,-8231.37,0,30.78,34.19,17.52,19.34,26.55,15.26,7.82,8.64,2.83,1.45,1.6,2.94,2.94,1.38,2.5,1635.06,26478.1,0,2,1,0,0
37.38,0,54.21,473490.41,88.73,12.91,2.16,531.61,1.19,2427460.3,0.43,79.35,22.92,15.46,19.89,33.42,0,26,33.68,18.71,20.29,26.11,13.79,7.66,8.31,2.66,1.48,1.61,2.46,2.46,1.49,1.77,846.76,30178.6,1,3,1,0,0
33.88,0,5.14,608925.75,97.65,13.33,2.23,583.25,1.22,2856508.6,0.31,80.6,22.31,15.3,20.79,54.74,0,27.19,32.65,17.55,18.53,25.17,13.63,7.33,7.73,2.91,1.57,1.65,2.27,2.27,1.33,1.77,1078.99,117351.3,1,3,2,0,0
29.54,0,54.21,686184.48,126.28,11.57,1.8,813.47,1.27,3832874.7,0.19,79.98,24.41,16.24,21.71,74.81,0,29.64,31.56,16.64,17.43,23.32,13.6,7.17,7.51,3.11,1.64,1.72,2.37,2.37,1.32,1.89,1286.07,24522.3,0,3,4,0,0
27.93,0,0,1328440.64,29.99,18.68,2.97,188.47,1.55,4619777.9,0.16,80.01,25.12,16.71,22.69,80.07,0,30.14,31.75,17.15,17.75,24.1,12.36,6.68,6.91,3.11,1.68,1.74,2.91,2.91,1.79,2.38,1431.88,204791.8,9,5,2,0,0
30.76,0.03,0,1059287.89,31.45,14.14,1.99,223.12,1.43,5399959.4,0.1,81.04,24.34,16.15,24,33.42,0,31.48,32.26,15.32,16.81,24.98,11.03,5.24,5.75,3.15,1.5,1.64,2.44,2.44,2.04,1.72,1204.49,91.9,2,3,1,0,0
21.56,0,0,25168.88,64.27,6.66,0.66,583.17,1.71,6487841.6,-0.68,28.84,7.6,0,9.89,26.02,0,10751.81,-35.96,-35.31,-35.31,-31.09,8.29,3.47,4.23,3.1,1.57,3.05,0.46,0.35,4.08,0.08,41.5,519445.7,2,3,1,0,0
56.21,0,22.17,847468.49,16.63,41.14,2.79,64.1,0.52,161006.8,0.31,12.96,11.12,7.41,8.42,9.44,9.51,370.72,10.4,6.43,10.31,19.01,18.95,12.08,13.27,10.99,6.65,8.31,1.27,1.46,0.84,0.76,2.44,98033.9,2,3,1,0,0
